time,survival
0,100
0.680368622,97.98969633
0.819104058,96.3557012
1.009865282,95.56760685
1.152069104,100.1786332
1.463453082,95.54971438
2.289699679,95.39996819
2.289699679,94.382575
2.289699679,92.92585292
2.511676376,90.99346649
3.621559863,87.39955806
4.121007433,87.20136458
4.786937525,84.44407286
5.025236039,83.264698
5.158321615,82.15962736
5.551523928,82.11219644
5.929192614,80.69015822
6.030931934,79.94638214
6.528067246,79.95408966
7.0067045,77.9529361
6.968285456,76.85922224
7.728128767,76.34696833
8.057625427,75.47409121
7.953805076,73.99154893
8.227576336,73.23593128
8.859593322,72.97364189
9.357279171,72.54825996
9.95582348,72.26748587
10.1559989,71.39488402
10.76841675,71.25669912
11.12367856,70.45649294
11.76687146,70.03450599
12.2957262,69.69122472
13.04388652,69.12055588
13.71357186,69.0038999
14.22441555,68.72519032
14.88687726,68.7627645
15.49731318,68.7627645
16.1077491,68.7627645
16.76997958,68.59628197
17.27682637,68.32189411
17.9741058,68.07152127
18.54949277,68.02284217
19.15992869,68.02284217
19.7703646,68.02284217
20.38080052,68.02284217
20.99123644,68.02284217
21.60167236,68.02284217
22.21210828,68.02284217
22.87456998,67.81473902
23.38541368,67.58351329
24.03173305,67.29265567
24.70141838,67.15409409
25.21226208,66.8753845
25.87472378,66.91295868
26.4851597,66.91295868
27.09559562,66.91295868
27.70603154,66.91295868
28.31646746,66.91295868
28.92690337,66.91295868
29.53733929,66.91295868
29.98129269,66.91295868
3.053435115,89.44020356
3.053435115,87.40458015
4.045801527,85.36895674
4.809160305,85.36895674